기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20211227,11380,은평구,439249.06810,432065.65140,5844.72470,1338.69190,486569.85790,384572.83140,396060.05670,470098.36190,163605.21340,30039.75890,98980.92580,34584.52870
20211227,11410,서대문구,373201.23580,351101.11390,18267.54330,3832.57870,385888.00520,365027.27180,380737.38430,367818.27260,208350.28700,42661.84360,69987.79350,95700.64990
20211227,11440,마포구,463015.13360,438894.48520,18839.70120,5280.94720,503170.07710,428262.59830,491230.09960,442861.58640,270389.21140,70558.09260,74874.50370,124956.61510
20211227,11470,양천구,384942.84170,377161.23100,5138.35030,2643.26040,409796.88380,353982.33510,362428.99540,401024.16040,151935.61560,29012.91080,67584.19860,55338.50620
20211227,11500,강서구,558916.61920,543283.10190,9272.76290,6360.75440,575499.42080,541291.03630,545509.92510,568492.82930,251521.12310,70520.97070,115031.58520,65968.56720
20211227,11530,구로구,426536.69460,390002.35020,31901.09330,4633.25110,434512.01210,414694.64160,421797.59540,429921.76540,208533.02220,64655.74340,74894.65180,68982.62700
20211227,11545,금천구,252173.52140,231489.87360,17687.18530,2996.46250,281753.09110,223475.52260,277368.96920,234176.77290,167622.15230,63266.55110,46467.75250,57887.84870
20211227,11560,영등포구,519262.03710,475550.13510,39620.18590,4091.71610,587867.43490,456198.05710,577085.10770,477959.84380,351152.89370,95257.60040,91774.41840,164120.87490
20211227,11590,동작구,391630.42200,375311.48150,13445.45440,2873.48600,420455.44120,357823.87940,364332.53940,411128.90950,161906.34020,31072.85930,66328.25050,64505.23040
20211227,11620,관악구,483759.43380,460190.92700,20336.74770,3231.75910,531461.69460,427126.09130,438353.36860,516192.33740,191889.38540,33660.24860,101091.06880,57138.06800
20211227,11650,서초구,583218.90490,564808.78630,13100.93000,5309.18860,702545.11880,472406.73740,679693.57860,514308.42370,414550.62390,136058.66500,80610.25630,197881.70260
20211227,11680,강남구,844937.92130,815884.10890,19441.00060,9612.81180,1070943.81960,651408.33620,1026393.84770,715326.54530,649710.56760,206946.85940,124286.05560,318477.65260
20211227,11710,송파구,759509.12180,741911.49400,13715.99540,3881.63240,771482.31680,748849.86710,767180.97300,754029.22820,378006.63300,110859.67700,149108.38360,118038.57240
20211227,11740,강동구,516392.11610,505522.88710,9112.63250,1756.59650,550234.68700,477966.03490,485147.17100,538709.93410,237242.11560,49174.13820,142075.32510,45992.65230
